Link;x;y;00:00:00;01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00
10644;454431.31292443007;5736495.795423075;0;0;0;0;0;0;3;1;3;0;0;0;0;0;1;2;1;0;1;0;0;0;0;0
5848;451358.0501702989;5730260.803965503;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1009;458442.84868420137;5731710.658798173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
4530;456372.93224114645;5738561.684160021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
7918;453390.97684131865;5736193.457842521;0;0;0;0;0;0;0;3;1;0;0;0;0;0;1;5;3;1;0;0;0;0;0;0
2469;454131.270395762;5732518.052026418;0;0;0;0;0;0;2;2;1;0;0;0;0;0;1;4;1;1;0;0;0;0;0;0
10738;455229.9782617796;5739955.641633229;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1015;448598.45123206463;5733717.064933245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1377;452449.97057523765;5732919.216911141;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;3;3;1;1;0;0;0;0;0
1497;454832.70700389467;5734399.8314513555;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0
3554;454075.66606808687;5729834.939143023;0;0;0;0;0;0;1;5;1;1;0;0;0;0;4;2;2;0;1;0;0;0;0;0
3553;451893.5023603778;5730541.927957212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
6823;452571.8451405243;5731232.317688626;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0
6704;453449.9216184745;5734918.9721156275;0;0;0;0;0;0;2;5;3;0;0;0;0;0;0;3;2;1;0;0;0;0;0;0
5614;448669.08765390347;5732621.577503446;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4768;453546.597081673;5737484.402352073;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;5;1;1;0;0;0;0;0;0
10974;458158.1656051803;5732536.395517698;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5616;448998.55121309217;5732935.796049039;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5858;453592.98141334817;5734861.493209135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0
2109;457365.3823838952;5739218.310397018;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
4781;456555.22053779126;5736232.534209986;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0
5751;456293.8895208392;5732207.183348897;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
1270;455093.3669623784;5730154.341292448;0;0;0;0;0;0;2;1;3;0;0;0;0;0;2;7;2;0;0;0;0;0;0;0
10745;455460.02327956946;5739984.707598732;0;0;0;0;0;0;0;3;1;0;0;0;0;0;4;3;2;1;0;0;0;0;0;0
1148;454895.03839986055;5735034.926701134;0;0;0;0;0;0;7;4;2;0;0;0;0;0;3;6;3;1;0;0;0;0;0;0
2598;457444.0304670998;5739839.239357106;0;0;0;0;0;0;7;2;3;0;0;0;0;1;3;2;3;0;0;0;0;0;0;0
720;454160.2463568804;5733611.54653068;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;3;3;0;0;0;0;0;0;0
604;457668.36442550377;5740571.423005964;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
4534;457035.5200769501;5734550.870137263;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0
6712;453589.0930683497;5735010.1715059085;0;0;0;0;0;0;4;6;3;0;0;0;0;0;3;5;3;2;0;0;0;0;0;0
5624;457565.516980613;5740340.55172495;0;0;0;0;0;0;2;4;2;0;0;0;0;0;1;6;1;1;0;0;0;0;0;0
6835;456607.865605283;5732008.94777608;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0
728;454415.50076116435;5733015.708234777;0;0;0;0;0;0;3;3;2;0;0;0;0;0;1;4;2;0;0;0;0;0;0;0
6714;453364.64699551574;5737549.4629826825;0;0;0;0;0;0;1;1;3;0;0;0;0;0;1;4;6;0;0;0;0;0;0;0
608;457652.7577276163;5740334.298978231;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
7926;453156.12801530113;5736579.347583272;0;0;0;0;0;0;1;2;1;0;0;0;0;0;2;3;2;0;0;0;0;0;0;0
4550;456695.6900583637;5736790.864466328;0;0;0;0;0;0;2;9;2;0;0;0;0;0;1;3;2;0;0;0;0;0;0;0
5640;452422.1471408663;5739377.708574585;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0
5761;456502.2996214272;5731923.314173808;0;0;0;0;0;0;2;3;0;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0
6731;453597.89864954294;5730671.800602877;0;0;0;0;0;0;0;2;3;1;0;0;0;0;0;2;3;1;0;0;0;0;0;0
5763;456575.7770605511;5731625.299410346;0;0;0;0;0;0;6;7;1;0;0;0;0;0;2;3;5;0;0;0;0;0;0;0
3222;453662.5431893398;5732180.512126361;0;0;0;0;0;0;1;12;13;4;0;0;0;0;1;6;16;7;0;0;0;0;0;0
2374;452670.41203566926;5739260.033479245;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0
2010;454100.62933122757;5729070.808132647;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
3460;451021.37282707344;5735133.793133741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0
3216;453661.3468581438;5732470.121064749;0;0;0;0;0;0;3;0;1;0;0;0;0;0;1;3;4;0;0;0;0;0;0;0
3335;453103.40191207296;5734633.078310391;0;0;0;0;0;0;0;5;3;0;0;0;0;0;2;4;6;1;0;0;0;0;0;0
732;454568.8539058765;5732677.610265323;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0
612;457638.35142054263;5740246.262935111;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
1397;452979.47514258337;5735316.562663571;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0
5874;453706.3554683487;5730306.451859963;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;6;2;3;0;0;0;0;0;0
4544;456637.8515564959;5736466.206497909;0;0;0;0;0;0;3;1;3;0;0;0;0;0;2;1;6;1;0;0;0;0;0;0
